نوع المؤسسة,الولاية,المؤسسة,الهاتف,العنوان,وسائل النقل المتاحة
المبيتات العمومية, تونس,المبيت الجامعي فطومة بورقيبة,71845095,9 نهج الحكيم برني 1082 البلفيدير- تونس بمحذاة بلدية المنزه 1/مركز بريد/ معتمدية,"38b , 51 , 5D , 80 , 6"
المبيتات العمومية, تونس,المبيت الجامعي ابن رشد,71801220,21 نهج ابن الجزار تونس - 1002 بمحذاة الدائرة البلدية,
المبيتات العمومية, تونس,المبيت الجامعي نهج مدريد,71353942,28 نهج ليون - تونس بمحذاة الحماية المدنية,"3 , 4 ,5"
المبيتات العمومية, تونس,المبيت الجامعي باردو3,71584367,شارع الحبيب بوقطفة – باردو- 2000 ص ب 98 - الرمانة بمحذاة مركز الرعاية الصحية ودار الشباب راس الطابية,"64,515,78A,14A,14C"
المبيتات العمومية, تونس,المبيت الجامعي العمران الأعلى1,71929934,1 نهج المؤانسة - العمران الأعلى – 1091 - تونس بمحذاة البلدية - مركز البريد - مركز الأمن,"38b,14A,78"
المبيتات العمومية, تونس,المبيت الجامعي العمران الأعلى2,71924277,نهج الشهيد على الترومي عدد67 - العمران الأعلى – 10 بمحذاة مركز البريد,"78 , 38b , 14a"
المبيتات العمومية,بن عروس,المبيت الجامعي المروج 3,71473613,نهج الأردن المروج 3 - 2074 بمحذاة مركز الشرطة/ البلدية,"74 , 59 , 37/10"
المبيتات العمومية,بن عروس,المبيت الجامعي بن عروس,71389840,نهج 20 مارس حي التعمير بن عروس 2013 بمحذاة البلدية,"22 , 55"
المبيتات العمومية,بن عروس,المبيت الجامعي الوردية,71371822,طريق فوشانة حي ابن سيناء - الكباريه – تونس- 2062 بمحذاة البلدية /مركز البريد/مستوصف,"60 , حافلة خاصة"
المبيتات العمومية,أريانة,المبيت الجامعي أريانة ثامر,71710265,نهج الحبيب ثامر أريانة - 2080 بمحذاة مركز الشرطة/ البلدية /مركز البريد /المكتبة المعلوماتية / دار الشباب,2
المبيتات العمومية,أريانة,"المبيت الجامعي ""ابن شرف""",71837094,هج المعادن طريق سكرة كلم1 أريانة -2035 بمحذاة معهد 2 مارس,2
المبيتات العمومية,أريانة,المبيت الجامعي شوقي,71232441,نهج عزيزة عثمانة المنزه السابع - 2037 بمحذاة النزل الكبير، المغازة العامة، معهد المنزه السادس,"tcv, ث5, 47"
المبيتات العمومية,أريانة,المبيت الجامعي بلقيس,71754454,نهج عزيزة عثمانة المنزه السابع - 2037 بمحذاة البلدية /مركز البريد /المستشفى الجهوي اريانة,"5b , 5c , 48"
المبيتات العمومية,منوبة,المبيت الجامعي البساتين منوبة,71600930,المركب الجامعي منوبة - 2010 بمحذاة مركز بريد /مركز الصحة الأساسية,4
المبيتات العمومية,منوبة,المبيت الجامعي للطالبات منوبة,71601200,المركب الجامعي منوبة - 2010 بمحذاة مركز بريد,4
المبيتات العمومية,منوبة,المبيت الجامعي ابن زهر منوبة,71600326,المركب الجامعي منوبة - 2010 بمحذاة بلدية منوبة - مركز بريد منوبة - مركز بريد المركب ا,"92 , 104"
المبيتات العمومية,نابل,المبيت الجامعي بنابل,72220301,المركب الجامعي المرازقة - 8000 بمحذاة مركز البريد,النقل الجهوي بنابل
المبيتات العمومية,جندوبة,المبيت الجامعي محمود المسعدي,78600433,جندوبة الشمالية - 8189,النقل الجهوي بجندوبة
المبيتات العمومية, الكاف,المبيت الجامعي يوغرطة الكاف,78238028,بوليفــة الكاف - 7100 بمحذاة المدرسة العليا للفلاحة,"النقل الجهوي بالكاف , حافلات النقل الجامعي"
